   0,   50, 0, 0, "right"
 182,  500, 0, 0, "right"
 282,  500, 0, 0, "right"
 320,  400, 0, 0, "right"
1100, 1292, 0, 0, "right"
2130, 2402, 0, 0, "right"
2130, 2552, 0, 0, "right"
2330, 2552, 0, 0, "right"
3575, 3652, 0, 0, "right"
3575, 3852, 0, 0, "right"
3675, 3822, 0, 0, "right"
4638, 4822, 0, 0, "right"
4651, 4832, 0, 0, "right"
4751, 4832, 0, 0, "right"
4711, 4832, 0, 0, "right"
5110, 5232, 0, 0, "right"
5110, 5328, 0, 0, "right"
5210, 5328, 0, 0, "right"
5770, 5928, 0, 0, "right"
 650,  858, 0, 0,  "left"
 750,  858, 0, 0,  "left"
 700,  838, 0, 0,  "left"
1500, 1858, 0, 0,  "left"
1600, 1858, 0, 0,  "left"
1600, 1758, 0, 0,  "left"
1690, 1802, 0, 0,  "left"
1704, 1802, 0, 0,  "left"
2742, 2852, 0, 0,  "left"
6100, 6320, 0, 0,  "left"
2742, 3062, 0, 0,  "left"
2872, 3062, 0, 0,  "left"
4062, 4262, 0, 0,  "left"
4062, 4462, 0, 0,  "left"
4192, 4462, 0, 0,  "left"
5481, 5601, 0, 0,  "left"
4921, 5051, 0, 0,  "left"
6081, 6201, 0, 0,  "left"
6081, 6301, 0, 0,  "left"
6163, 6401, 0, 0,  "left"
6093, 6401, 0, 0,  "left"
 362,  639, 0, 0,  "down"
 362,  539, 0, 0,  "down"
 462,  539, 0, 0,  "down"
 462,  619, 0, 0,  "down"
1295, 1490, 0, 0,  "down"
1345, 1490, 0, 0,  "down"
1305, 1410, 0, 0,  "down"
2537, 2742, 0, 0,  "down"
2557, 2712, 0, 0,  "down"
3852, 4062, 0, 0,  "down"
3992, 4062, 0, 0,  "down"
3892, 4002, 0, 0,  "down"
4822, 4904, 0, 0,  "down"
4825, 4894, 0, 0,  "down"
4823, 4898, 0, 0,  "down"
5301, 5404, 0, 0,  "down"
6520, 6750, 0, 0,  "down"
7030, 7350, 0, 0,  "down"
7130, 7350, 0, 0,  "down"
7050, 7250, 0, 0,  "down"
7034, 7150, 0, 0,  "down"
 868, 1100, 0, 0,    "up"
 898, 1000, 0, 0,    "up"
 868,  910, 0, 0,    "up"
 918, 1100, 0, 0,    "up"
1822, 2130, 0, 0,    "up"
1822, 2030, 0, 0,    "up"
1832, 1990, 0, 0,    "up"
1902, 2110, 0, 0,    "up"
1972, 2115, 0, 0,    "up"
3062, 3575, 0, 0,    "up"
3282, 3575, 0, 0,    "up"
3062, 3275, 0, 0,    "up"
3262, 3475, 0, 0,    "up"
3182, 3475, 0, 0,    "up"
4465, 4638, 0, 0,    "up"
4465, 4538, 0, 0,    "up"
4535, 4638, 0, 0,    "up"
5060, 5121, 0, 0,    "up"
5667, 5771, 0, 0,    "up"
6750, 6900, 0, 0,    "up"
6800, 6890, 0, 0,    "up"
